Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
DOTTOR MARC SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@dottormarc.it;0455118550;VR;VIA CA 'NOVA ZAMPIERI 4E - SAN GIOVANNI LUPATOTO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ISACCO ROSSI;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;ir.isacco.rossi@gmail.com;;VR;VIA UMBRIA 27 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
HYPHEN - ITALIA S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;saraceno.a@hypen-italia.com;0456203200;VR;VIA MARCONI, 14 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
MONDO PC SNC;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;mail@mondo-pc.it;045518086;VR;VIA C. ANGIOLIERI, 4 - CASTEL D'AZZANO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
16 TELEFONIA SAS;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;16telefonia@gmail.com;0456930482;VR;VIA MANTOVANA 91/C - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
ALPEGO S.P.A.;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;  valeria.zanin@alpego.com;0444646100;VI;VIA GIOVANNI E GIUSEPPE CENZATO,9 - LONIGO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
BEDIGITAL S.R.L.;5AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@bedigital.it;0458352440;VR;VIA GINO BELTRAMINI 15/A - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
EDULIFE S.P.A.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;l.soato@edulife.it;0459696300;VR;LUNGADIGE GALTAROSSA - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
PASTIFICIO RANA S.P.A.;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;mbugna@rana.it;0458587311;VR;VIA CESARE BATTISTI 114 - SAN GIOVANNI LUPATOTO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ARTIGIANA NEW DI PERTILE RENATO;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;artigiananew@virgilio.it;;VR;VIA A. VOLTA 4 - SAN BONIFACIO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
INFIND SRL;3BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@infind.it;045 6750055;VR;VIA E. FERMI, 21 – Z.I SETTIMO DI - PESCANTINA;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n\n
MAURELLI SPA;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;francesca@maurelli.it;0452478103;VR;VIA DELLA MECCANICA 30/A - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
FRACAROLLI FLLI SNC;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@fracarolli.it;045 7150838;VR;VIA STRADA SAN VITTORE 12 - BUSSOLENGO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
FOTO OTTICA DE FORTUNA SNC;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@otticadefortuna.it;;VR;PIAZZA RISORGIMENTO 17 A - VERONA;;
VIRTUAL LAND SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0458342964;VR;VIA ARSENALE 58 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
VIRTUAL LAND SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0458342964;VR;VIA ARSENALE 58 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
MANNI SIPRE SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;ilaria.bigagnoli@mannigroup.com;;VR;VIA MEDIANA - MOZZECANE;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
FABER ELETTRONICA S.N.C. DI FATTORI A. E BERTIN C.;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@faber-elettronica.it;0456151945;VR;VIA DELL' ARTIGIANATO,38 - CALDIERO;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
BMQUADRO SRL;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@bmquadro.it;0459971290;VR;VIA G.PASCOLI 21 - AFFI;INF08 - ADDETTO ALLA SICUREZZA INFORMATICA\n\n;Le professioni comprese in questa unità disegnano, coordinano ed implementano le misure di sicurezza dei sistemi informativi per regolare gli accessi ai dati e prevenire accessi non autorizzati.\n\n
RTC SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
RTC SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n\n
FRANKE SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;job.it@franke.com;0456449422;VR;PIGNOLINI 2 - PESCHIERA DEL GARDA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
GP GARAGE;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@gpgarage.it;3471522786;VR;VIA M.G. AGNESI - CASTELNUOVO DEL GARDA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
COMUNE DI VERONA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;tirocini.lavoro@comune.verona.it;0458077400;VR;P.ZZA BR, 1 - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n
ANTOLINI TRASPORTI SPEDIZIONI SRL;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;paola@antolinitrasporti.it;;VR;VIA DANTE, 3/5 - SAN PIETRO IN CARIANO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
HASLERRAIL ITALIA SSRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;lucia.campo@haslerrail.com;0456304558;VR;VIALE POSTUMIA 58/C - VILLAFRANCA DI VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sezionepersonale@agec.it;0458051311;VR;VIA NORIS 1 - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
CROCE BIANCA VERONA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;controller@crocebiancavr.it;0458033700;VR;PIAZZA BACANAL 7 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ESSEPI PROFESSIONAL SERVICE DI PUVANARATNAM SANGEEVAN;3EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@essepi.org;3207487229;VR;VIA TRENTO,78 - CASTELNUOVO DEL GARDA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
TELEPOINT SNC;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@telepointservice.com;0456260513;VR;LOCALITA' IN AFFI, 32 - AFFI;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
VIRTUAL LAND SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0458342964;VR;VIA ARSENALE 58 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
CASA DI RIPOSO B. ALBERTINI;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;direzione@cralbertini.it;0457301562;VR;VIA DEL DONATORE DI SANGUE - ISOLA DELLA SCALA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
MONDO PC SNC;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;mail@mondo-pc.it;045518086;VR;VIA C. ANGIOLIERI, 4 - CASTEL D'AZZANO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
TIME SYSTEM COSTRUZIONI ELETTRICHE SNC;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@timesystem.it;;VR;VIA INVALIDI DEL LAVORO, 12 - ZEVIO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
TECH ASSIST. SRLS;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@tech-assist.it;0452222884;VR;VIA ROMA 49 - SAN GIOVANNI LUPATOTO;;
SERVIZI AGRICOLI INFORMATIZZATI;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;stevani.sara@aicvr.it;;VR;PIAZZA SANTA TOSCANA 50 - ZEVIO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
